title,discount_price,original_price,discount,link,image,price
"Nillkin for iPhone 14 Pro Max Case with Sliding Camera Cover,[Full Around Protection],[Anti-Fingerprint],[Carbon Fiber Texture Anti-Scratch],Slim Shockproof Protective 6.7"",Deep Purple(Polycarbonate)",990,2999,67,https://www.amazon.in/Nillkin-Protection-Anti-Fingerprint-Anti-Scratch-Shockproof/dp/B0BHSZJDZZ/ref=sr_1_2?keywords=iphone+14+pro+max&qid=1707746563&sr=8-2,https://m.media-amazon.com/images/I/71YWYqDbl9L._AC_UY218_.jpg,
Apple iPhone 14 Plus (512 GB) - Purple,88999,109900,19,https://www.amazon.in/Apple-iPhone-Plus-512GB-Purple/dp/B0BDJ83Y4Z/ref=sr_1_3?keywords=iphone+14+pro+max&qid=1707746563&sr=8-3,https://m.media-amazon.com/images/I/61YSNhAb00L._AC_UY218_.jpg,
Apple iPhone 14 Plus (512 GB) - (Product) RED,88999,109900,19,https://www.amazon.in/Apple-iPhone-Plus-512GB-Product/dp/B0BDHY5BHF/ref=sr_1_4?keywords=iphone+14+pro+max&qid=1707746563&sr=8-4,https://m.media-amazon.com/images/I/716fAVud8PL._AC_UY218_.jpg,
Apple iPhone 15 Pro (256 GB) - White Titanium,137990,144900,5,https://www.amazon.in/Apple-iPhone-15-Pro-256/dp/B0CHX3RP9R/ref=sr_1_5?keywords=iphone+14+pro+max&qid=1707746563&sr=8-5,https://m.media-amazon.com/images/I/81qlME2wWmL._AC_UY218_.jpg,
Apple iPhone 15 Pro (128 GB) - Blue Titanium,127990,134900,5,https://www.amazon.in/Apple-iPhone-15-Pro-128/dp/B0CHX2DRGV/ref=ice_ac_b_dpb?keywords=iphone+14+pro+max&qid=1707746563&sr=8-6,https://m.media-amazon.com/images/I/81SigpJN1KL._AC_UY218_.jpg,
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,148900,159900,7,https://www.amazon.in/Apple-iPhone-Pro-Max-256/dp/B0CHX1K2ZC/ref=sr_1_7?keywords=iphone+14+pro+max&qid=1707746563&sr=8-7,https://m.media-amazon.com/images/I/81fxjeu8fdL._AC_UY218_.jpg,
Apple iPhone 15 Plus (256 GB) - Pink,90990,99900,9,https://www.amazon.in/Apple-iPhone-15-Plus-256/dp/B0CHX7STQQ/ref=sr_1_8?keywords=iphone+14+pro+max&qid=1707746563&sr=8-8,https://m.media-amazon.com/images/I/71bErtQPC3L._AC_UY218_.jpg,
Apple iPhone 15 Pro (256 GB) - Natural Titanium,137990,144900,5,https://www.amazon.in/Apple-iPhone-15-Pro-256/dp/B0CHX5J2ND/ref=sr_1_9?keywords=iphone+14+pro+max&qid=1707746563&sr=8-9,https://m.media-amazon.com/images/I/81CgtwSII3L._AC_UY218_.jpg,
Apple iPhone 15 Pro (128 GB) - Natural Titanium,127990,134900,5,https://www.amazon.in/Apple-iPhone-15-Pro-128/dp/B0CHX7J4TL/ref=sr_1_10?keywords=iphone+14+pro+max&qid=1707746563&sr=8-10,https://m.media-amazon.com/images/I/81CgtwSII3L._AC_UY218_.jpg,
"Nillkin TPU+PC For Iphone 14 Pro Max Case With Sliding Camera Cover, [Full Around Protection], [Anti-Fingerprint], [Carbon Fiber Texture Anti-Scratch], Slim Shockproof Protective 6.7"", Blue",1099,2999,63,https://www.amazon.in/Nillkin-Protection-Anti-Fingerprint-Anti-Scratch-Shockproof/dp/B0B9S4VYP3/ref=sr_1_11?keywords=iphone+14+pro+max&qid=1707746563&sr=8-11,https://m.media-amazon.com/images/I/715OPIC7PrL._AC_UY218_.jpg,
"imluckies Magnetic Case for iPhone 14 Pro Max 6.7"" Compatible with Magsafe, Slide Camera Protective Cover Case with Built-in Magnet Circle, Shockproof Bumper for 14 Pro Max 2022, Purple",2199,4398,50,https://www.amazon.in/imluckies-Magnetic-Compatible-Protective-Shockproof/dp/B0BJJGJK2X/ref=sr_1_12?keywords=iphone+14+pro+max&qid=1707746563&sr=8-12,https://m.media-amazon.com/images/I/71L1FMy61cL._AC_UY218_.jpg,
Apple iPhone 14 Plus (512 GB) - Blue,88999,119900,26,https://www.amazon.in/Apple-iPhone-Plus-512GB-Blue/dp/B0BDJ55SNV/ref=sr_1_13?keywords=iphone+14+pro+max&qid=1707746563&sr=8-13,https://m.media-amazon.com/images/I/61BGE6iu4AL._AC_UY218_.jpg,
"CloudValley Case Designed for iPhone 14 Pro Max 6.7"" with Camera Cover, Liquid Silicone Shockproof Slim Protective Phone Cases Slide Lens Protection [Microfiber Lining], Midnight Green",2999,5999,50,https://www.amazon.in/CloudValley-Shockproof-Protective-Protection-Microfiber/dp/B0BJPVLWWC/ref=sr_1_14?keywords=iphone+14+pro+max&qid=1707746563&sr=8-14,https://m.media-amazon.com/images/I/61tv+f9RwiL._AC_UY218_.jpg,
Apple iPhone 14 Plus (256 GB) - (Product) RED,77999,89900,13,https://www.amazon.in/Apple-iPhone-Plus-256GB-Product/dp/B0BDJVX14D/ref=sr_1_15?keywords=iphone+14+pro+max&qid=1707746563&sr=8-15,https://m.media-amazon.com/images/I/716fAVud8PL._AC_UY218_.jpg,
Apple iPhone 15 Pro (256 GB) - Blue Titanium,137990,144900,5,https://www.amazon.in/Apple-iPhone-15-Pro-256/dp/B0CHWZ86W2/ref=sr_1_16?keywords=iphone+14+pro+max&qid=1707746563&sr=8-16,https://m.media-amazon.com/images/I/81SigpJN1KL._AC_UY218_.jpg,
"(Refurbished) Realme GT Master Edition (Daybreak Blue, 128 GB) (6 GB RAM) Without Offer",18798,25999,28,https://www.amazon.in/Renewed-Realme-Master-Daybreak-Without/dp/B09ZYBPCP6/ref=sr_1_1?keywords=realme+gt+master+edition&qid=1707746584&sr=8-1,https://m.media-amazon.com/images/I/41WfobwIt1L._AC_UY218_.jpg,
"(Refurbished) Realme GT Master Edition 5G (256GB, Luna White 8 GB RAM, New)",25999,31999,19,https://www.amazon.in/Renewed-Realme-Master-256GB-White/dp/B0B65R6HYV/ref=sr_1_3?keywords=realme+gt+master+edition&qid=1707746584&sr=8-3,https://m.media-amazon.com/images/I/41PPIB5r95L._AC_UY218_.jpg,
"(Refurbished) realme GT 5G Master Edition (Voyager Grey, 6GB RAM, 128GB Storage), Medium",18399,26999,32,https://www.amazon.in/Renewed-realme-GT-Master-Voyager/dp/B09KVGYR1L/ref=sr_1_4?keywords=realme+gt+master+edition&qid=1707746584&sr=8-4,https://m.media-amazon.com/images/I/31vn+-OUmRL._AC_UY218_.jpg,
"(Refurbished) Realme GT 5G Master Edition (Cosmos Black, 8GB RAM, 256GB Storage)",24990,31999,22,https://www.amazon.in/Renewed-Realme-GT-Master-Storage/dp/B09LCXRXXM/ref=sr_1_5?keywords=realme+gt+master+edition&qid=1707746584&sr=8-5,https://m.media-amazon.com/images/I/41leKlqQ0uL._AC_UY218_.jpg,
"(Refurbished) realme GT 5G Master Edition (Cosmos Black, 6GB RAM, 128GB Storage), Medium (GT Master Edition)",16999,26999,37,https://www.amazon.in/Renewed-realme-GT-Master-Storage/dp/B09PC1DR9D/ref=sr_1_6?keywords=realme+gt+master+edition&qid=1707746584&sr=8-6,https://m.media-amazon.com/images/I/41leKlqQ0uL._AC_UY218_.jpg,
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",17999,19999,10,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B09WQYFLRX/ref=sr_1_7?keywords=realme+gt+master+edition&qid=1707746584&sr=8-7,https://m.media-amazon.com/images/I/61fDxgcyBDL._AC_UY218_.jpg,
"realme GT Neo 3 (150W) (Asphalt Black, 12GB RAM, 256GB Storage)",25099,45999,45,https://www.amazon.in/Realme-Asphalt-Black-256GB-Storage/dp/B09ZQRWWNQ/ref=sr_1_8?keywords=realme+gt+master+edition&qid=1707746584&sr=8-8,https://m.media-amazon.com/images/I/61mF3NIR9VL._AC_UY218_.jpg,
realme GT 2 (Paper White 8GB RAM+128GB Storage) Qualcomm Snapdragon 888 Processor | 50MP Camera,28480,39999,29,https://www.amazon.in/realme-Storage-Qualcomm-Snapdragon-Processor/dp/B09ZJ48JCJ/ref=sr_1_9?keywords=realme+gt+master+edition&qid=1707746584&sr=8-9,https://m.media-amazon.com/images/I/51dU-AhexwL._AC_UY218_.jpg,
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,12999,17999,28,https://www.amazon.in/Redmi-Jade-Black-6GB-128GB/dp/B0C9JFWBH7/ref=sr_1_10?keywords=realme+gt+master+edition&qid=1707746584&sr=8-10,https://m.media-amazon.com/images/I/71tCOhEigtL._AC_UY218_.jpg,
"Realme GT Neo 3 (Sprint White, 8GB RAM, 128GB Storage)",23999,38999,38,https://www.amazon.in/Realme-Sprint-White-128GB-Storage/dp/B09ZHS17ZW/ref=sr_1_11?keywords=realme+gt+master+edition&qid=1707746584&sr=8-11,https://m.media-amazon.com/images/I/51P-7qmHo6L._AC_UY218_.jpg,
"realme GT Neo 3 (Asphalt Black, 8GB RAM, 256GB Storage)",24999,41999,40,https://www.amazon.in/Realme-Asphalt-Black-256GB-Storage/dp/B0B15G7VC3/ref=sr_1_12?keywords=realme+gt+master+edition&qid=1707746584&sr=8-12,https://m.media-amazon.com/images/I/81lhCu7dK0L._AC_UY218_.jpg,
"realme 12 Pro+ 5G (Submarine Blue, 12GB RAM, 256GB Storage)",31000,37990,18,https://www.amazon.in/realme-Submarine-Blue-256GB-Storage/dp/B0CSWNPRJ1/ref=sr_1_13?keywords=realme+gt+master+edition&qid=1707746584&sr=8-13,https://m.media-amazon.com/images/I/81Dfv8fQFoL._AC_UY218_.jpg,
"Oneplus Nord CE 3 5G (Grey Shimmer, 8GB RAM, 128GB Storage)",24999,26999,7,https://www.amazon.in/Oneplus-Nord-Shimmer-128GB-Storage/dp/B0C9QPJY5R/ref=sr_1_14?keywords=realme+gt+master+edition&qid=1707746584&sr=8-14,https://m.media-amazon.com/images/I/61abLrCfF7L._AC_UY218_.jpg,
"iQOO Z7s 5G by vivo (Pacific Night, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",16499,24999,34,https://www.amazon.in/iQOO-Pacific-Snapdragon-Processor-44WFlashCharge/dp/B07WGPKSG8/ref=sr_1_15?keywords=realme+gt+master+edition&qid=1707746584&sr=8-15,https://m.media-amazon.com/images/I/51oW-QOqhaL._AC_UY218_.jpg,
"realme GT NEO 3T (Dash Yellow, 8GB+256GB) Qualcomm Snapdragon 870 | 64MP Camera",29990,38999,23,https://www.amazon.in/realme-Yellow-Qualcomm-Snapdragon-Camera/dp/B0BNDYGC6X/ref=sr_1_16?keywords=realme+gt+master+edition&qid=1707746584&sr=8-16,https://m.media-amazon.com/images/I/51srMkgyYiL._AC_UY218_.jpg,
"ASUS TUF Gaming F15, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz, Gaming Laptop (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W",52990,80990,35,https://www.amazon.in/ASUS-SmartChoice-i5-11400H-GeForce-FX506HF-HN025W/dp/B0C27SD9YR?ref_=Oct_DLandingS_D_a86bafe7_0,"https://m.media-amazon.com/images/I/41rafnfnlqL._AC_SR400,600_.jpg",
"ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i5-11400H 11th Gen, RTX 3050 4GB Graphics, Gaming Laptop (8GB/512GB SSD/90WHrs Battery/Windows 11/Black/2.3 kg), FX506HC-HN089W",54990,85990,36,https://www.amazon.in/ASUS-i5-11400H-RTX-3050-Graphics-FX506HC-HN089W/dp/B0C7QWHQK6?ref_=Oct_DLandingS_D_a86bafe7_1,"https://m.media-amazon.com/images/I/41LDfnScXZS._AC_SR400,600_.jpg",
"ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, 4GB NVIDIA GeForce RTX 3050 Ti, Gaming Laptop (16GB/1TB SSD/Win 11/MSO/90WHrs Battery/Black/2.30 Kg), FX506HE-HN385WS",73990,104990,30,https://www.amazon.in/ASUS-i7-11800H-GeForce-Battery-FX506HE-HN385WS/dp/B0CJ2X5NJ3?ref_=Oct_DLandingS_D_a86bafe7_2,"https://m.media-amazon.com/images/I/51xKHE2Sc7L._AC_SR400,600_.jpg",
"ASUS TUF Gaming F15 - AI Powered Gaming Laptop, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz, (8GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit/Black/2.30 kg),FX506HF-HN024W",49990,75990,34,https://www.amazon.in/ASUS-TUF-Gaming-F15-FX506HF-HN024W/dp/B0C27TZ8CB?ref_=Oct_DLandingS_D_a86bafe7_3,"https://m.media-amazon.com/images/I/41rafnfnlqL._AC_SR400,600_.jpg",
"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (16 GB/512 GB SSD/Win11 Home/4GB Graphics/RTX 2050) A515-57G (15.6"" FHD Display, 1.8 Kg)",54990,84999,35,https://www.amazon.in/Acer-12-Cores-Processor-Graphics-A515-57G/dp/B0B5KTSVTG?ref_=Oct_DLandingS_D_a86bafe7_4,"https://m.media-amazon.com/images/I/41d18SoZ-yL._AC_SR400,600_.jpg",
"Dell G15 5520 Gaming Laptop, Intel i5-12500H/16GB DDR5/1TB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/NVIDIA RTX 3050, 4 GB GDDR6/Win 11 + MSO'21/15 Months McAfee/Backlit KB/Dark Shadow Grey/2.81kg",75990,97115,22,https://www.amazon.in/Dell-Gaming-i5-12500H-39-62cm-Backlit/dp/B0C918JGBM?ref_=Oct_DLandingS_D_a86bafe7_5,"https://m.media-amazon.com/images/I/31uYfs9jPML._AC_SR400,600_.jpg",
"ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, 4GB NVIDIA GeForce RTX 3050 Ti, Gaming Laptop (16GB/512GB SSD/Windows 11/90WHrs Battery/Black/2.30 Kg), FX506HE-HN382W",68990,97990,30,https://www.amazon.in/ASUS-i7-11800H-GeForce-Windows-FX506HE-HN382W/dp/B0CCYGC3TS?ref_=Oct_DLandingS_D_a86bafe7_6,"https://m.media-amazon.com/images/I/51xKHE2Sc7L._AC_SR400,600_.jpg",
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM, 144Hz Display (16GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51",78900,99999,21,https://www.amazon.in/Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CHJJZ9G8?ref_=Oct_DLandingS_D_a86bafe7_7,"https://m.media-amazon.com/images/I/4144VzbbZ6L._AC_SR400,600_.jpg",
"MSI Katana GF66, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA RTX 3050 4GB GDDR6/Black/2.25Kg), 12UCOK-693IN",69990,95990,27,https://www.amazon.in/MSI-Katana-12UCOK-Gaming-Laptop/dp/B09XX2G3ND?ref_=Oct_DLandingS_D_a86bafe7_8,"https://m.media-amazon.com/images/I/41pJHZ1-GvL._AC_SR400,600_.jpg",
"HP Victus Gaming Laptop, AMD Ryzen 7 7840HS AI Powered, 6GB RTX 3050 GPU, 16.1-inch (40.9 cm), 95W TGP, FHD, IPS, 144Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB Backlit KB (MSO, Blue, 2.29 kg), s0094AX",83990,99527,16,https://www.amazon.in/HP-Powered-16-1-inch-Backlit-s0094AX/dp/B0CDG6TM66?ref_=Oct_DLandingS_D_a86bafe7_9,"https://m.media-amazon.com/images/I/41ioAevcvIL._AC_SR400,600_.jpg",
"MSI GF63 Thin, Intel Core i5-11260H, 40CM FHD 144Hz Gaming Laptop (8GBx2 RAM/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 3050, GDDR6 4GB/Black/1.8Kg), 11UC-1474IN",54990,84990,35,https://www.amazon.in/MSI-i5-11260H-Windows-GeForce-11UC-1474IN/dp/B0C6F4TM71?ref_=Oct_DLandingS_D_a86bafe7_10,"https://m.media-amazon.com/images/I/41YHQJnzfaL._AC_SR400,600_.jpg",
"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), 50W TGP, FHD, IPS, 8GB DDR4, 512GB SSD, Backlit KB, B&O (Win 11, Silver, 2.29 kg), fb0146AX",46999,63629,26,https://www.amazon.in/HP-Graphics-15-6-inch-Backlit-fb0146AX/dp/B0C9JN4VMV?ref_=Oct_DLandingS_D_a86bafe7_11,"https://m.media-amazon.com/images/I/51lMk8wpflL._AC_SR400,600_.jpg",
"Dell G15 5520 Gaming Laptop, Intel i5-12500H, 16GB DDR5, 512GB SSD, NVIDIA RTX 3050 (4GB GDDR6), 15.6""(39.62cm) FHD 120Hz 250 nits Display, Backlit KB Orange, Win 11 + MSO'21, Dark Shadow Grey, 2.81kg",72990,94987,23,https://www.amazon.in/Dell-i5-12500H-39-62Cms-Backlit-D560822WIN9B/dp/B09XXM57T2?ref_=Oct_DLandingS_D_a86bafe7_12,"https://m.media-amazon.com/images/I/31uYfs9jPML._AC_SR400,600_.jpg",
"MSI GF63 Thin, Intel Core i5-11260H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce GTX 1650, GDDR6 4GB/Black/1.8Kg), 11SC-1477IN",42990,78990,46,https://www.amazon.in/MSI-i5-11260H-Windows-GeForce-11SC-1477IN/dp/B0C6F9GMW1?ref_=Oct_DLandingS_D_a86bafe7_13,"https://m.media-amazon.com/images/I/41Sf4XUBhKL._AC_SR400,600_.jpg",
"Dell G15-5520 Gaming Laptop, Intel i5-12500H/8GB DDR5/512GB SSD/Win 11 + MSO'21/NVIDIA RTX 3050 (4GB GDDR6)/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/Backlit KB Orange/Dark Shadow Grey/2.81kg",64990,86705,25,https://www.amazon.in/Dell-G15-5520-Gaming-i5-12500H-39-62Cms/dp/B0BQJD5P52?ref_=Oct_DLandingS_D_a86bafe7_14,"https://m.media-amazon.com/images/I/31uYfs9jPML._AC_SR400,600_.jpg",
"HP Victus Gaming Laptop, AMD Ryzen 5 7535HS, NVIDIA RTX 2050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 9 ms Response time, 16GB DDR5, 512GB SSD, Backlit KB, B&O (Win 11, Blue, 2.37 kg), fb1017AX",56490,73939,24,https://www.amazon.in/HP-15-6-inch-Response-Backlit-fb1017AX/dp/B0CDG91FHT?ref_=Oct_DLandingS_D_a86bafe7_15,"https://m.media-amazon.com/images/I/415zArrvm9L._AC_SR400,600_.jpg",
"HP OMEN Gaming Laptop, AMD Ryzen 7 7840HS AI Powered, 8GB RTX 4060 GPU, 16.1-inch (40.9 cm), 140W TGP, FHD, IPS, 165Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB Backlit KB (MSO, Black, 2.32 kg), xf0060AX",117490,148015,21,https://www.amazon.in/HP-Powered-16-1-inch-Backlit-xf0060AX/dp/B0CCVZP835?ref_=Oct_DLandingS_D_a86bafe7_16,"https://m.media-amazon.com/images/I/41kztYN7cRL._AC_SR400,600_.jpg",
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg), 82K20289IN",49490,77990,37,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-300nits-82K20289IN/dp/B0CL5L59Z9?ref_=Oct_DLandingS_D_a86bafe7_17,"https://m.media-amazon.com/images/I/51GDkO2QzRL._AC_SR400,600_.jpg",
"Lenovo LOQ Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS 144Hz 350Nits Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB Graphics/Office 2021/3 Month Game Pass/Storm Grey/2.4Kg), 82XV00F4IN",59490,94790,37,https://www.amazon.in/Lenovo-i5-12450H-350Nits-Graphics-82XV00F4IN/dp/B0CR1JFW5P?ref_=Oct_DLandingS_D_a86bafe7_18,"https://m.media-amazon.com/images/I/41Oal2mLMjL._AC_SR400,600_.jpg",
